candidate,family,quant,sample_id,raw_detection_count,measurement_count,installed_object_count,installed_tp,installed_fp,installed_fn,installed_duplicate_count
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000383_frame102960,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000387_frame102968,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000388_frame102970,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000406_frame103006,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000421_frame103036,6,6,6,2,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000423_frame103040,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000426_frame103046,6,6,6,2,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000427_frame103048,1,1,1,1,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000436_frame103066,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000440_frame103074,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000444_frame103082,1,1,1,1,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000502_frame103198,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000522_frame103238,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000523_frame103240,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000552_frame103298,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000558_frame103310,7,7,7,4,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000600_frame103394,6,6,6,5,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000623_frame103440,11,11,11,7,4,2,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000650_frame103494,11,11,11,7,4,2,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000652_frame103498,10,10,10,6,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000670_frame103534,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000674_frame103542,8,8,8,3,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000708_frame103610,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000717_frame103628,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000720_frame103634,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000726_frame103646,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000736_frame103666,9,9,9,4,5,1,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000740_frame103674,4,4,4,3,1,1,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000745_frame103684,5,5,5,4,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000753_frame103700,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000762_frame103718,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000770_frame103734,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000771_frame103736,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000829_frame103852,4,4,4,2,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000831_frame103856,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000840_frame103874,9,9,9,5,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000846_frame103886,6,6,6,3,3,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000847_frame103888,5,5,5,3,2,2,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000882_frame103958,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000900_frame103994,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000906_frame104006,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000909_frame104012,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000914_frame104022,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000919_frame104032,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000926_frame104046,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000927_frame104048,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000931_frame104056,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000936_frame104066,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000937_frame104068,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000957_frame104108,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000968_frame104130,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000977_frame104148,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000979_frame104152,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000994_frame104182,11,11,11,4,7,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000997_frame104188,5,5,5,3,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001052_frame104298,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001057_frame104308,2,2,2,2,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001067_frame104328,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001071_frame104336,0,0,0,0,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001101_frame104396,4,4,4,3,1,1,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001104_frame104402,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001110_frame104414,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001156_frame104506,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001168_frame104530,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001211_frame104616,9,9,9,6,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001214_frame104622,6,6,6,3,3,3,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001216_frame104626,7,7,7,4,3,2,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001220_frame104634,12,12,12,5,7,2,7
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001221_frame104636,7,7,7,5,2,2,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001230_frame104654,11,11,11,5,6,0,6
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001234_frame104662,8,8,8,4,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001239_frame104672,6,6,6,4,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001242_frame104678,9,9,9,4,5,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001255_frame104704,10,10,10,6,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001264_frame104722,8,8,8,6,2,3,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001265_frame104724,10,10,10,7,3,2,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001271_frame104736,13,13,13,7,6,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001300_frame104794,6,6,6,4,2,3,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001309_frame104812,9,9,9,4,5,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001310_frame104814,8,8,8,3,5,2,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001323_frame104840,7,7,7,3,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001327_frame104848,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001339_frame104872,7,7,7,3,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001342_frame104878,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001349_frame104892,9,9,9,4,5,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001351_frame104896,9,9,9,4,5,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001352_frame104898,9,9,9,4,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001356_frame104906,7,7,7,3,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001359_frame104912,7,7,7,3,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001378_frame104950,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001383_frame104960,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001384_frame104962,6,6,6,2,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001385_frame104964,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001389_frame104972,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001393_frame104980,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001395_frame104984,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001406_frame105006,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001408_frame105010,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001411_frame105016,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001412_frame105018,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001415_frame105024,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001419_frame105032,5,5,5,2,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001531_frame105256,7,7,7,3,4,3,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001537_frame105268,6,6,6,3,3,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001539_frame105272,5,5,5,3,2,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001565_frame105324,9,9,9,4,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001567_frame105328,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001608_frame105410,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001610_frame105414,4,4,4,2,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001617_frame105428,6,6,6,3,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001655_frame105504,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001657_frame105508,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001689_frame105572,6,6,6,3,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001695_frame105584,9,9,9,4,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001788_frame105770,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001793_frame105780,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001794_frame105782,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001796_frame105786,1,1,1,1,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001799_frame105792,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001881_frame105956,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001893_frame105980,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001899_frame105992,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001914_frame106022,4,4,4,2,2,1,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001954_frame106102,9,9,9,6,3,2,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001973_frame106140,9,9,9,6,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001983_frame106160,11,11,11,6,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001986_frame106166,10,10,10,6,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001990_frame106174,8,8,8,6,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001997_frame106188,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_001999_frame106192,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002000_frame106194,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002002_frame106198,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002008_frame106210,7,7,7,5,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002010_frame106214,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002019_frame106232,7,7,7,5,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002027_frame106248,6,6,6,4,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002029_frame106252,6,6,6,4,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002034_frame106262,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002036_frame106266,7,7,7,4,3,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002041_frame106276,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002042_frame106278,8,8,8,4,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002043_frame106280,6,6,6,3,3,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002049_frame106292,7,7,7,4,3,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002057_frame106308,7,7,7,4,3,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002063_frame106320,1,1,1,1,0,2,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002072_frame106338,2,2,2,2,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002073_frame106340,8,8,8,2,6,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002076_frame106346,1,1,1,1,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002078_frame106350,4,4,4,1,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002079_frame106352,0,0,0,0,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002087_frame106368,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002096_frame106386,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002098_frame106390,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002100_frame106394,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002101_frame106396,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002107_frame106408,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002111_frame106416,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002134_frame106462,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002140_frame106474,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002156_frame106506,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002157_frame106508,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002206_frame106606,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002224_frame106642,0,0,0,0,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002250_frame106694,2,2,2,1,1,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002252_frame106698,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002254_frame106702,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002256_frame106706,2,2,2,2,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002321_frame106836,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002381_frame106956,9,9,9,6,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002385_frame106964,7,7,7,5,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002393_frame106980,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002394_frame106982,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002408_frame107010,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002415_frame107024,5,5,5,3,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002422_frame107038,3,3,3,2,1,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002424_frame107042,6,6,6,3,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002430_frame107054,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002434_frame107062,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002439_frame107072,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002440_frame107074,4,4,4,2,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002445_frame107084,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002478_frame107150,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002492_frame107178,5,5,5,3,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002495_frame107184,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002496_frame107186,7,7,7,3,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002538_frame107270,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002542_frame107278,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002553_frame107300,3,3,3,2,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002557_frame107308,5,5,5,2,3,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002570_frame107334,6,6,6,4,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002571_frame107336,4,4,4,2,2,2,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002572_frame107338,4,4,4,3,1,1,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002573_frame107340,5,5,5,4,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002581_frame107356,6,6,6,4,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002584_frame107362,10,10,10,4,6,1,6
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002589_frame107372,10,10,10,6,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002590_frame107374,8,8,8,5,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002591_frame107376,10,10,10,4,6,2,6
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002592_frame107378,11,11,11,6,5,0,5
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002614_frame107422,5,5,5,2,3,2,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002615_frame107424,7,7,7,3,4,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002618_frame107430,7,7,7,3,4,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002626_frame107446,7,7,7,4,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002634_frame107462,6,6,6,4,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002637_frame107468,5,5,5,1,4,2,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002638_frame107470,4,4,4,2,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002648_frame107490,4,4,4,2,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002654_frame107502,5,5,5,2,3,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002662_frame107518,3,3,3,1,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002666_frame107526,2,2,2,1,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_002670_frame107534,2,2,2,1,1,0,1
